Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
365,Antonio Marin,hr CRO,FW,hr Dinamo Zagreb,21-278,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,148af9a8
366,João Mário,pt POR,MFFW,pt Benfica,29-268,1993,3.8,2,2,0,0.0,0.53,0.00,0.00,,32.3,1,2,2,1.6,0.0,0.02,+0.4,0.0,Matches,f0021247
367,João Mário Lopes,pt POR,DF,pt Porto,22-284,2000,2.0,0,2,0,0.0,0.99,0.00,0.00,,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,82a39b66
368,Marquinhos,br BRA,DF,fr Paris S-G,28-153,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,d5f2f82b
369,José Marsà,es ESP,DF,pt Sporting CP,20-224,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4ecc6b6
370,Lautaro Martínez,ar ARG,FW,it Inter,25-053,1997,3.2,1,7,1,14.3,2.18,0.31,0.14,1.00,13.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,f7036e1c
371,Toni Martínez,es ESP,FW,pt Porto,25-106,1997,0.9,0,3,0,0.0,3.38,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,f3945e07
372,Clinton Mata,ao ANG,DF,be Club Brugge,29-341,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,55abe554
373,Joël Matip,cm CMR,DF,eng Liverpool,31-067,1991,2.5,1,5,2,40.0,2.00,0.80,0.20,0.50,8.0,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,b217ef29
374,Rabbi Matondo,wls WAL,FWMF,sct Rangers,22-035,2000,1.0,0,1,1,100.0,1.01,1.01,0.00,0.00,8.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,33144cc5
