Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
412,Adama Soumaoro,fr FRA,DF,Bologna,30-119,1992,4.5,0,1,0,0.0,0.22,0.00,0.00,,6.0,0,0,0,0.3,0.3,0.31,-0.3,-0.3,Matches,7b075c75
413,Leonardo Spinazzola,it ITA,DF,Roma,29-204,1993,7.1,0,3,1,33.3,0.42,0.14,0.00,0.00,16.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,3626daea
414,Marco Sportiello,it ITA,GK,Atalanta,30-158,1992,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ac4003af
415,Petar Stojanović,si SVN,DF,Empoli,27-008,1995,7.9,0,5,1,20.0,0.64,0.13,0.00,0.00,22.1,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,13b44b02
416,Gabriel Strefezza,br BRA,FWMF,Lecce,25-180,1997,4.9,4,10,6,60.0,2.04,1.22,0.30,0.50,20.5,0,1,1,1.3,0.5,0.05,+2.7,+2.5,Matches,674cfc5a
417,Dávid Strelec,sk SVK,FW,Spezia,21-194,2001,1.4,0,2,0,0.0,1.41,0.00,0.00,,6.2,0,0,0,0.6,0.6,0.28,-0.6,-0.6,Matches,2cb9486d
418,Isaac Success,ng NGA,FW,Udinese,26-281,1996,4.6,0,6,0,0.0,1.30,0.00,0.00,,16.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,f573a8bf
419,Ibrahim Sulemana,gh GHA,MF,Hellas Verona,19-146,2003,0.2,0,1,0,0.0,4.50,0.00,0.00,,36.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,230c3f3a
420,Wojciech Szczęsny,pl POL,GK,Juventus,32-180,1990,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01b8a2b2
421,Adrien Tameze,cm CMR,MF,Hellas Verona,28-253,1994,7.1,0,3,1,33.3,0.42,0.14,0.00,0.00,16.1,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches,8da74c05
422,Ciprian Tătărușanu,ro ROU,GK,Milan,36-248,1986,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b056e3da
423,Filippo Terracciano,it ITA,DF,Hellas Verona,19-249,2003,3.5,0,1,0,0.0,0.29,0.00,0.00,,50.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,5cbb5ad6
