Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls▼,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
54,Gianluca Scamacca,it ITA,FW,West Ham,23-285,1999,3.5,2,9,5,55.6,2.57,1.43,0.22,0.40,16.1,1,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches,8790f988
55,Bernardo Silva,pt POR,MFFW,Manchester City,28-064,1994,6.9,2,9,3,33.3,1.31,0.44,0.22,0.67,14.9,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Matches,3eb22ec9
56,Luis Sinisterra,co COL,FWMF,Leeds United,23-118,1999,2.5,2,4,3,75.0,1.58,1.18,0.50,0.67,15.9,0,0,0,0.8,0.8,0.19,+1.2,+1.2,Matches,8e16dd48
57,Yoane Wissa,cd COD,FW,Brentford,26-040,1996,3.8,2,10,4,40.0,2.62,1.05,0.20,0.50,12.5,0,0,0,1.7,1.7,0.17,+0.3,+0.3,Matches,2500cef9
58,Granit Xhaka,ch SUI,MF,Arsenal,30-016,1992,9.0,2,12,2,16.7,1.34,0.22,0.17,1.00,18.9,1,0,0,1.3,1.3,0.11,+0.7,+0.7,Matches,e61b8aee
59,Brenden Aaronson,us USA,MFFW,Leeds United,21-356,2000,7.3,1,9,3,33.3,1.24,0.41,0.11,0.33,18.5,0,0,0,1.4,1.4,0.16,-0.4,-0.4,Matches,5bc43860
60,Tosin Adarabioyo,eng ENG,DF,Fulham,25-019,1997,9.0,1,2,1,50.0,0.22,0.11,0.50,1.00,10.9,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches,c81d773d
61,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-006,1998,6.8,1,11,2,18.2,1.61,0.29,0.09,0.50,23.5,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,cd1acf9d
62,Joachim Andersen,dk DEN,DF,Crystal Palace,26-135,1996,7.0,1,4,2,50.0,0.57,0.29,0.25,0.50,8.1,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches,e34fc66d
63,Jaidon Anthony,eng ENG,FWDF,Bournemouth,22-316,1999,1.9,1,3,2,66.7,1.58,1.05,0.33,0.50,20.4,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches,e4238fb1
64,Adam Armstrong,eng ENG,FW,Southampton,25-245,1997,6.1,1,10,5,50.0,1.63,0.81,0.10,0.20,14.0,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,68c720b5
65,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-117,1989,0.8,1,2,1,50.0,2.43,1.22,0.50,1.00,13.5,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches,d5dd5f1f
