Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
295,Stefan Posch,at AUT,DF,Hoffenheim,25-154,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f609bfc
296,Yussuf Poulsen,dk DEN,FW,RB Leipzig,28-122,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d2416c2e
297,Grischa Prömel,de GER,MF,Hoffenheim,27-279,1995,9.8,1,16,4,25.0,1.64,0.41,0.06,0.25,15.9,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,924f9191
298,Nicolai Rapp,de GER,MF,Werder Bremen,25-306,1996,0.5,0,1,0,0.0,1.84,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,c8b3a472
299,David Raum,de GER,DF,RB Leipzig,24-176,1998,7.0,0,5,1,20.0,0.72,0.14,0.00,0.00,25.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,7d450ed3
300,Rocco Reitz,de GER,MF,M'Gladbach,20-139,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cc971106
301,Marco Reus,de GER,MF,Dortmund,33-137,1989,6.3,2,13,3,23.1,2.05,0.47,0.15,0.67,14.1,2,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches,36a3ff67
302,Elvis Rexhbeçaj,de GER,MF,Augsburg,24-348,1997,8.7,0,5,2,40.0,0.57,0.23,0.00,0.00,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,1ae836b1
303,Gio Reyna,us USA,FWMF,Dortmund,19-336,2002,1.3,0,3,0,0.0,2.23,0.00,0.00,,12.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,7fa4e703
304,Marco Richter,de GER,FW,Hertha BSC,24-325,1997,1.5,2,10,5,50.0,6.77,3.38,0.20,0.40,22.7,1,0,0,1.2,1.2,0.12,+0.8,+0.8,Matches,f972644c
