Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
315,Batista Mendy,fr FRA,MFDF,Angers,22-276,2000,7.5,0,2,0,0.0,0.27,0.00,0.00,,10.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,e472a6f6
316,Gideon Mensah,gh GHA,DF,Auxerre,24-089,1998,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,27.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,9bdd8118
317,Quentin Merlin,fr FRA,DF,Nantes,20-152,2002,7.8,0,4,0,0.0,0.51,0.00,0.00,,22.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,0bfca6a1
318,Lionel Messi,ar ARG,MFFW,Paris S-G,35-113,1987,8.8,5,43,22,51.2,4.87,2.49,0.12,0.23,16.5,8,0,0,4.8,4.8,0.11,+0.2,+0.2,Matches,d70ce98e
319,Arkadiusz Milik,pl POL,FW,Marseille,28-229,1994,1.4,0,1,0,0.0,0.70,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,85613cf0
320,Takumi Minamino,jp JPN,MFFW,Monaco,27-272,1995,2.0,1,3,2,66.7,1.48,0.99,0.33,0.50,15.8,1,0,0,0.6,0.6,0.19,+0.4,+0.4,Matches,f833a830
321,Terem Moffi,ng NGA,FW,Lorient,23-143,1999,8.9,8,20,12,60.0,2.26,1.36,0.35,0.58,13.5,0,1,2,6.3,4.8,0.24,+1.7,+2.2,Matches,065dc209
322,Mostafa Mohamed,eg EGY,FW,Nantes,24-321,1997,6.2,2,11,3,27.3,1.77,0.48,0.18,0.67,14.3,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches,595e6f3e
323,Lebo Mothiba,za RSA,FW,Strasbourg,26-260,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3eaf8817
324,Steve Mounié,bj BEN,FW,Brest,28-016,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,19ba6c6d
325,Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,27-260,1995,3.0,1,6,2,33.3,1.99,0.66,0.17,0.50,13.7,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches,71d10572
326,Samuel Moutoussamy,cd COD,MF,Nantes,26-064,1996,6.3,0,8,2,25.0,1.27,0.32,0.00,0.00,18.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,af0c835b
327,Nordi Mukiele,fr FRA,DF,Paris S-G,24-348,1997,3.8,0,4,0,0.0,1.06,0.00,0.00,,14.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,ac73ec79
328,Marshall Munetsi,zw ZIM,MF,Reims,26-115,1996,8.9,1,19,7,36.8,2.14,0.79,0.05,0.14,20.4,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,2acf0cd7
329,Yvon Mvogo,ch SUI,GK,Lorient,28-131,1994,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dc29b608
330,Nathan N'Goumou,fr FRA,FW,Toulouse,22-215,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e110ea4b
331,Papa Ndiaga Yade,sn SEN,DF,Troyes,22-283,2000,3.3,0,6,1,16.7,1.84,0.31,0.00,0.00,24.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,87e9c7cd
332,Neymar,br BRA,MFFW,Paris S-G,30-252,1992,8.2,8,24,10,41.7,2.92,1.22,0.25,0.60,16.8,4,2,2,6.1,4.6,0.19,+1.9,+1.4,Matches,69384e5d
333,M'Baye Niang,sn SEN,FW,Auxerre,27-300,1994,3.8,1,5,1,20.0,1.32,0.26,0.00,0.00,17.5,0,1,1,1.1,0.3,0.07,-0.1,-0.3,Matches,2054d037
334,Rasmus Nicolaisen,dk DEN,DF,Toulouse,25-213,1997,9.5,0,4,1,25.0,0.42,0.11,0.00,0.00,7.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches,3f319bb9
335,Arnaud Nordin,fr FRA,FWMF,Montpellier,24-120,1998,6.8,3,14,4,28.6,2.06,0.59,0.21,0.75,15.1,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Matches,7b9a9e25
336,Riad Nouri,fr FRA,MF,Ajaccio,37-130,1985,4.7,0,6,1,16.7,1.27,0.21,0.00,0.00,15.4,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,374fbf7d
337,Alexander Nübel,de GER,GK,Monaco,26-015,1996,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,afb0c500
338,Gerzino Nyamsi,fr FRA,DF,Strasbourg,25-266,1997,3.3,0,1,1,100.0,0.30,0.30,0.00,0.00,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,6043997c
339,Wilson Odobert,fr FRA,FW,Troyes,17-321,2004,5.1,3,8,3,37.5,1.56,0.58,0.38,1.00,16.2,0,0,0,1.0,1.0,0.13,+2.0,+2.0,Matches,35516eac
340,Florent Ogier,fr FRA,DF,Clermont Foot,33-208,1989,5.5,0,2,0,0.0,0.37,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,6993927b
341,Jonas Omlin,ch SUI,GK,Montpellier,28-278,1994,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c631f952
342,Ado Onaiwu,jp JPN,FW,Toulouse,26-341,1995,2.2,0,5,0,0.0,2.24,0.00,0.00,,18.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,ff4df82e
